%CPU     %MEM    
 0.0  0.1
PSR %CPU
  0  0.0
  1  0.0
  0  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
 140  0.1
PSR %CPU
  0  1.0
  1  0.0
  0  0.0
  3  132
  1  1.0
  0  1.0
  3  2.0
%CPU     %MEM    
 129  0.1
PSR %CPU
  0  0.5
  1  0.0
  0  0.0
  3  125
  1  0.5
  0  0.5
  3  1.0
%CPU     %MEM    
94.0  0.1
PSR %CPU
  0  0.2
  1  0.0
  0  0.0
  3 92.0
  1  0.2
  0  0.2
  3  0.5
%CPU     %MEM    
98.6  0.1
PSR %CPU
  0  0.2
  1  0.0
  0  0.0
  3 97.2
  1  0.2
  0  0.2
  3  0.4
%CPU     %MEM    
 101  0.1
PSR %CPU
  0  0.1
  1  0.0
  0  0.0
  3  100
  1  0.1
  0  0.1
  3  0.3
%CPU     %MEM    
 104  0.1
PSR %CPU
  0  0.1
  1  0.0
  0  0.0
  3  103
  1  0.1
  0  0.1
  3  0.2
%CPU     %MEM    
 106  0.1
PSR %CPU
  0  0.1
  1  0.0
  0  0.0
  3  104
  1  0.1
  0  0.1
  3  0.2
%CPU     %MEM    
 107  0.1
PSR %CPU
  0  0.1
  1  0.0
  0  0.0
  3  106
  1  0.1
  0  0.1
  3  0.2
%CPU     %MEM    
98.6  0.1
PSR %CPU
  0  0.0
  1  0.0
  0  0.0
  3 97.7
  1  0.0
  0  0.0
  3  0.1
%CPU     %MEM    
99.6  0.1
PSR %CPU
  0  2.0
  1  0.0
  0  0.0
  3 96.9
  1  0.1
  0  0.0
  3  0.1
  1  0.0
  2  0.0
  2  0.0
%CPU     %MEM    
 101  0.1
PSR %CPU
  0  5.3
  1  0.0
  0  0.0
  3 89.4
  1  0.1
  0  0.0
  3  0.1
  0  2.0
  1 24.0
  2 44.0
%CPU     %MEM    
 102  0.1
PSR %CPU
  1  8.0
  1  0.0
  0  0.0
  3 83.0
  1  0.1
  0  0.0
  3  0.1
  2  5.5
  1 29.5
  0 38.5
%CPU     %MEM    
 103  0.1
PSR %CPU
  2  8.0
  2  0.0
  1  0.0
  3 77.5
  1  0.1
  0  0.0
  3  0.1
  2 17.6
  1 33.6
  0 35.0
%CPU     %MEM    
 104  0.1
PSR %CPU
  0  8.2
  2  0.0
  1  0.0
  3 72.6
  1  0.1
  0  0.0
  3  0.1
  2 27.0
  2 32.5
  1 31.2
%CPU     %MEM    
99.3  0.1
PSR %CPU
  2  9.2
  0  0.0
  1  0.0
  3 64.6
  1  0.1
  0  0.1
  3  0.1
  1  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
 100  0.1
PSR %CPU
  2 10.8
  0  0.0
  1  0.0
  3 61.2
  2  0.1
  0  0.1
  3  0.1
  1  4.0
  0 44.0
  3 27.0
%CPU     %MEM    
 101  0.1
PSR %CPU
  2 11.6
  0  0.0
  1  0.0
  3 58.1
  2  0.1
  0  0.1
  3  0.1
  3  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
 102  0.1
PSR %CPU
  2 12.0
  3  0.0
  1  0.0
  3 55.3
  2  0.1
  0  0.0
  3  0.1
  3 47.0
  0 45.0
  1 26.0
%CPU     %MEM    
 102  0.1
PSR %CPU
  2 11.9
  3  0.0
  1  0.0
  3 56.2
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
98.9  0.1
PSR %CPU
  2 10.9
  3  0.0
  1  0.0
  3 56.4
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
99.7  0.1
PSR %CPU
  2 10.5
  3  0.0
  1  0.0
  3 58.8
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
 100  0.1
PSR %CPU
  2 10.1
  3  0.0
  1  0.0
  3 61.1
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  9.7
  3  0.0
  1  0.0
  3 63.2
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  9.3
  3  0.0
  1  0.0
  3 65.2
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
 102  0.1
PSR %CPU
  2  9.0
  3  0.0
  1  0.0
  3 67.0
  2  0.1
  0  0.1
  3  0.1
%CPU     %MEM    
99.5  0.1
PSR %CPU
  2  8.4
  1  0.0
  1  0.0
  3 66.5
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  8.2
  1  0.0
  1  0.0
  3 68.1
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  7.9
  1  0.0
  1  0.0
  3 69.6
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  7.7
  1  0.0
  1  0.0
  3 71.1
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  7.5
  1  0.0
  1  0.0
  3 72.4
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
99.4  0.1
PSR %CPU
  2  7.1
  1  0.0
  1  0.0
  3 71.7
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
99.8  0.1
PSR %CPU
  2  6.9
  1  0.0
  1  0.0
  3 72.9
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  6.7
  1  0.0
  1  0.0
  3 74.1
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  6.5
  1  0.0
  1  0.0
  3 75.1
  2  0.1
  0  0.0
  3  0.1
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  6.4
  1  0.0
  1  0.0
  3 76.2
  2  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  6.2
  1  0.0
  1  0.0
  3 77.2
  2  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
99.6  0.1
PSR %CPU
  2  5.9
  1  0.0
  1  0.0
  3 76.3
  2  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  5.8
  1  0.0
  1  0.0
  3 77.2
  2  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
 100  0.2
PSR %CPU
  0  5.8
  0  0.0
  2  0.0
  3 77.2
  3  0.0
  0  0.0
  0  0.0
  0  0.0
  2  0.0
