%CPU     %MEM    
 0.0  0.1
PSR %CPU
  0  0.0
  1  0.0
  3  0.0
  1  0.0
  3  0.0
  1  0.0
  3  0.0
%CPU     %MEM    
 150  0.1
PSR %CPU
  0  2.0
  1  0.0
  3  0.0
  1  142
  3  1.0
  1  2.0
  3  2.0
%CPU     %MEM    
 134  0.1
PSR %CPU
  0  1.0
  1  0.0
  3  0.0
  1  130
  3  0.5
  1  1.0
  3  1.0
%CPU     %MEM    
96.5  0.1
PSR %CPU
  0  7.5
  1  0.0
  2  0.0
  1 67.0
  3  0.2
  1  0.5
  0  0.5
  1 22.0
  2 28.0
  3 28.0
%CPU     %MEM    
97.6  0.1
PSR %CPU
  2  8.8
  2  0.0
  2  0.0
  1 53.6
  3  0.6
  3  2.4
  1  0.8
  2  0.0
  0  0.0
  0  0.0
%CPU     %MEM    
99.8  0.1
PSR %CPU
  2  8.1
  2  0.0
  2  0.0
  1 44.6
  3  0.6
  3  2.0
  1  0.6
  3  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  7.4
  2  0.0
  2  0.0
  1 45.7
  1  0.7
  0  1.8
  3  0.7
%CPU     %MEM    
 101  0.1
PSR %CPU
  2  6.5
  2  0.0
  2  0.0
  1 45.0
  1  0.6
  0  1.6
  3  0.6
  3  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
 102  0.1
PSR %CPU
  2  5.8
  3  0.0
  3  0.0
  1 40.0
  1  0.5
  0  1.4
  2  0.6
  3  0.0
  3  0.0
  0  0.0
%CPU     %MEM    
94.0  0.1
PSR %CPU
  2  4.9
  3  0.0
  3  0.0
  1 32.7
  0  0.6
  3  1.2
  0  0.6
  3  1.0
  1  1.0
  2 40.0
%CPU     %MEM    
95.8  0.1
PSR %CPU
  2  4.6
  3  0.0
  3  0.0
  1 30.0
  0  0.6
  3  1.3
  0  0.6
  3  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
97.0  0.1
PSR %CPU
  2  4.3
  3  0.0
  3  0.0
  1 27.6
  3  0.6
  3  1.2
  0  0.6
  0  1.0
  1  0.0
  2 70.0
%CPU     %MEM    
98.2  0.1
PSR %CPU
  2  4.0
  0  0.0
  3  0.0
  1 25.7
  0  0.6
  3  1.2
  0  0.6
  3  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
99.4  0.1
PSR %CPU
  2  3.8
  0  0.0
  3  0.0
  1 29.9
  2  0.6
  3  1.2
  0  0.6
%CPU     %MEM    
94.7  0.1
PSR %CPU
  2  3.4
  0  0.0
  3  0.0
  1 33.4
  2  0.5
  3  1.0
  0  0.5
%CPU     %MEM    
96.0  0.1
PSR %CPU
  2  3.2
  0  0.0
  3  0.0
  1 38.0
  2  0.5
  3  1.0
  0  0.5
%CPU     %MEM    
97.2  0.1
PSR %CPU
  2  3.0
  0  0.0
  3  0.0
  1 42.3
  2  0.5
  3  0.9
  0  0.5
%CPU     %MEM    
98.2  0.1
PSR %CPU
  2  2.9
  0  0.0
  3  0.0
  1 46.0
  2  0.5
  3  0.9
  0  0.5
%CPU     %MEM    
99.0  0.1
PSR %CPU
  2  2.7
  0  0.0
  3  0.0
  1 49.4
  2  0.4
  3  0.8
  0  0.4
%CPU     %MEM    
99.9  0.1
PSR %CPU
  2  2.6
  0  0.0
  3  0.0
  1 52.5
  2  0.4
  3  0.8
  0  0.4
%CPU     %MEM    
96.3  0.1
PSR %CPU
  2  2.4
  0  0.0
  3  0.0
  1 52.7
  0  0.4
  3  0.7
  2  0.4
  2  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
97.2  0.1
PSR %CPU
  2  2.4
  0  0.0
  3  0.0
  1 50.6
  0  0.4
  3  0.7
  2  0.4
  2  2.0
  2 12.0
  3  101
%CPU     %MEM    
98.0  0.1
PSR %CPU
  3  2.3
  0  0.0
  3  0.0
  1 48.7
  0  0.3
  3  0.6
  2  0.4
  3  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
98.7  0.1
PSR %CPU
  3  2.2
  0  0.0
  3  0.0
  1 46.9
  0  0.3
  1  0.7
  2  0.4
  2  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
99.3  0.2
PSR %CPU
  3  2.2
  0  0.0
  3  0.0
  1 49.1
  0  0.3
  3  0.6
  2  0.4
%CPU     %MEM    
99.9  0.2
PSR %CPU
  3  2.1
  0  0.0
  3  0.0
  1 51.4
  0  0.3
  3  0.6
  2  0.4
%CPU     %MEM    
97.3  0.2
PSR %CPU
  3  2.0
  0  0.0
  3  0.0
  1 51.9
  0  0.3
  3  0.6
  2  0.3
%CPU     %MEM    
97.9  0.2
PSR %CPU
  3  1.9
  0  0.0
  3  0.0
  1 54.0
  0  0.3
  3  0.5
  2  0.3
%CPU     %MEM    
98.6  0.2
PSR %CPU
  3  1.9
  0  0.0
  3  0.0
  1 55.9
  0  0.3
  3  0.5
  2  0.3
%CPU     %MEM    
99.1  0.2
PSR %CPU
  3  1.8
  0  0.0
  3  0.0
  1 57.7
  0  0.3
  3  0.5
  2  0.3
%CPU     %MEM    
99.6  0.2
PSR %CPU
  3  1.8
  0  0.0
  3  0.0
  1 59.4
  0  0.3
  3  0.5
  2  0.3
%CPU     %MEM    
 100  0.2
PSR %CPU
  3  1.7
  0  0.0
  3  0.0
  1 61.0
  0  0.3
  3  0.5
  2  0.3
%CPU     %MEM    
98.0  0.2
PSR %CPU
  3  1.6
  0  0.0
  3  0.0
  1 60.9
  0  0.2
  3  0.5
  2  0.3
%CPU     %MEM    
98.5  0.2
PSR %CPU
  3  1.6
  0  0.0
  3  0.0
  1 62.4
  0  0.2
  3  0.4
  2  0.3
%CPU     %MEM    
98.9  0.2
PSR %CPU
  3  1.7
  2  0.0
  3  0.0
  1 62.5
  2  0.2
  0  0.5
  2  0.3
  2  0.0
  0  0.0
  2  0.0
%CPU     %MEM    
99.4  0.2
PSR %CPU
  3  1.7
  2  0.0
  3  0.0
  1 61.0
  2  0.2
  0  0.4
  2  0.2
  2  0.0
  0  5.0
  2  150
%CPU     %MEM    
99.7  0.2
PSR %CPU
  3  2.0
  2  0.0
  2  0.0
  1 59.5
  2  0.2
  0  0.4
  0  0.3
  2  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
97.7  0.2
PSR %CPU
  3  2.0
  2  0.0
  2  0.0
  1 56.8
  2  0.3
  0  0.4
