%CPU     %MEM    
 100  0.0
PSR %CPU
  1  2.0
  3  0.0
  0  0.0
  3 91.0
  0  2.0
  0  1.0
  0  1.0
%CPU     %MEM    
 108  0.0
PSR %CPU
  1  1.0
  3  0.0
  0  0.0
  3  104
  0  1.0
  0  0.5
  0  0.5
%CPU     %MEM    
83.0  0.1
PSR %CPU
  1  2.2
  3  0.0
  0  0.0
  3 77.7
  3  0.5
  0  0.2
  3  0.2
  2  0.0
  3  0.0
  0  0.0
%CPU     %MEM    
89.6  0.1
PSR %CPU
  0  3.6
  3  0.0
  0  0.0
  3 71.6
  0  0.8
  0  1.4
  2  0.6
%CPU     %MEM    
94.5  0.1
PSR %CPU
  0  3.0
  3  0.0
  0  0.0
  3 79.3
  0  0.6
  0  1.1
  2  0.5
%CPU     %MEM    
97.7  0.1
PSR %CPU
  0  2.5
  3  0.0
  0  0.0
  3 84.7
  0  0.5
  0  1.0
  2  0.4
%CPU     %MEM    
 100  0.1
PSR %CPU
  0  2.7
  3  0.0
  0  0.0
  3 78.0
  1  0.6
  2  1.0
  0  0.5
  0  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
92.0  0.1
PSR %CPU
  0  2.4
  3  0.0
  0  0.0
  3 72.7
  0  0.5
  2  0.9
  1  0.5
%CPU     %MEM    
93.9  0.1
PSR %CPU
  0  2.1
  3  0.0
  0  0.0
  3 74.9
  0  0.5
  2  0.9
  3  0.4
  0  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
95.5  0.1
PSR %CPU
  0  2.0
  3  0.0
  0  0.0
  3 71.6
  0  0.5
  1  1.0
  0  0.5
%CPU     %MEM    
97.3  0.1
PSR %CPU
  0  1.9
  3  0.0
  0  0.0
  3 75.2
  0  0.5
  1  0.9
  0  0.4
%CPU     %MEM    
98.7  0.1
PSR %CPU
  0  1.7
  3  0.0
  0  0.0
  3 78.1
  0  0.5
  1  0.8
  0  0.4
%CPU     %MEM    
 100  0.1
PSR %CPU
  0  1.6
  3  0.0
  0  0.0
  3 80.8
  0  0.4
  1  0.8
  0  0.4
%CPU     %MEM    
95.1  0.1
PSR %CPU
  0  1.4
  3  0.0
  0  0.0
  3 78.2
  0  0.4
  1  0.7
  0  0.3
%CPU     %MEM    
96.3  0.1
PSR %CPU
  0  1.3
  3  0.0
  0  0.0
  3 80.4
  0  0.3
  1  0.6
  0  0.3
%CPU     %MEM    
97.5  0.1
PSR %CPU
  0  1.3
  3  0.0
  0  0.0
  3 82.4
  0  0.3
  1  0.6
  0  0.3
%CPU     %MEM    
98.5  0.1
PSR %CPU
  0  1.2
  3  0.0
  0  0.0
  3 84.1
  0  0.3
  1  0.6
  0  0.3
%CPU     %MEM    
99.4  0.1
PSR %CPU
  0  1.1
  3  0.0
  0  0.0
  3 85.7
  0  0.3
  1  0.5
  0  0.2
%CPU     %MEM    
 100  0.1
PSR %CPU
  0  1.0
  3  0.0
  0  0.0
  3 83.4
  0  0.3
  1  0.5
  0  0.2
%CPU     %MEM    
96.8  0.1
PSR %CPU
  0  1.0
  3  0.0
  0  0.0
  3 84.1
  0  0.2
  1  0.5
  0  0.2
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
97.5  0.1
PSR %CPU
  3  1.1
  3  0.0
  0  0.0
  3 80.8
  2  0.3
  0  0.5
  0  0.3
%CPU     %MEM    
98.3  0.1
PSR %CPU
  3  1.0
  3  0.0
  0  0.0
  3 82.2
  2  0.3
  0  0.5
  0  0.3
%CPU     %MEM    
99.0  0.1
PSR %CPU
  3  1.0
  3  0.0
  0  0.0
  3 83.5
  2  0.3
  0  0.4
  0  0.2
%CPU     %MEM    
99.6  0.1
PSR %CPU
  3  1.0
  3  0.0
  0  0.0
  3 84.7
  2  0.3
  0  0.4
  0  0.2
%CPU     %MEM    
96.9  0.1
PSR %CPU
  3  0.9
  3  0.0
  0  0.0
  3 83.0
  2  0.3
  0  0.4
  0  0.2
%CPU     %MEM    
97.5  0.1
PSR %CPU
  3  0.9
  3  0.0
  0  0.0
  3 84.1
  2  0.2
  0  0.4
  0  0.2
%CPU     %MEM    
98.2  0.1
PSR %CPU
  3  0.8
  3  0.0
  0  0.0
  3 85.1
  2  0.2
  0  0.4
  0  0.2
%CPU     %MEM    
98.8  0.1
PSR %CPU
  3  0.8
  3  0.0
  0  0.0
  3 86.1
  2  0.2
  0  0.3
  0  0.2
%CPU     %MEM    
99.4  0.1
PSR %CPU
  3  0.8
  3  0.0
  0  0.0
  3 87.1
  2  0.2
  0  0.3
  0  0.2
%CPU     %MEM    
99.9  0.1
PSR %CPU
  3  0.8
  3  0.0
  0  0.0
  3 87.9
  2  0.2
  0  0.3
