%CPU     %MEM    
53.3     0.1     
 0.0  0.1
PSR %CPU
  3  0.0
  0  0.0
  1  0.0
  1  0.0
  0  0.0
  0  0.0
  0  0.0
%CPU     %MEM    
100.0    0.1     
 129  0.1
PSR %CPU
  3  3.0
  0  0.0
  1  0.0
  1  119
  0  1.0
  0  2.0
  0  2.0
%CPU     %MEM    
106.7    0.1     
 123  0.1
PSR %CPU
  3  1.5
  0  0.0
  1  0.0
  1  118
  0  0.5
  0  1.0
  0  1.0
%CPU     %MEM    
93.8     0.1     
91.0  0.1
PSR %CPU
  3  0.7
  0  0.0
  1  0.0
  1 88.5
  0  0.2
  0  0.5
  0  0.5
%CPU     %MEM    
100.0    0.1     
96.4  0.1
PSR %CPU
  3  0.6
  0  0.0
  1  0.0
  1 94.4
  0  0.2
  0  0.4
  0  0.4
%CPU     %MEM    
106.7    0.1     
99.8  0.1
PSR %CPU
  3  5.8
  0  0.0
  1  0.0
  1 90.5
  2  0.3
  0  0.3
  1  0.3
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
100.0    0.1     
 102  0.1
PSR %CPU
  3 11.0
  0  0.0
  1  0.0
  1 77.5
  2  0.2
  0  0.2
  1  0.2
  0 46.0
  1  4.0
  2 36.0
%CPU     %MEM    
93.8     0.1     
 104  0.1
PSR %CPU
  3  9.6
  0  0.0
  1  0.0
  1 67.8
  2  0.2
  0  0.2
  1  0.2
  0 34.0
  1 34.5
  2 33.0
%CPU     %MEM    
93.3     0.1     
 105  0.1
PSR %CPU
  0 12.0
  0  0.0
  0  0.0
  1 60.3
  2  0.3
  3  0.3
  1  0.3
  1  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
93.3     0.2     
97.0  0.1
PSR %CPU
  0 11.4
  1  0.0
  0  0.0
  2 51.2
  2  0.2
  3  0.2
  1  0.2
%CPU     %MEM    
106.7    0.2     
98.5  0.1
PSR %CPU
  0 10.5
  1  0.0
  0  0.0
  2 54.0
  2  0.2
  3  0.2
  1  0.2
  2  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
106.7    0.2     
 100  0.1
PSR %CPU
  0  9.6
  1  0.0
  0  0.0
  2 49.8
  2  0.2
  3  0.2
  1  0.2
  2 10.0
  0 50.0
  3 84.0
%CPU     %MEM    
94.1     0.2     
 101  0.1
PSR %CPU
  0  9.0
  1  0.0
  0  0.0
  2 46.2
  2  0.2
  3  0.2
  1  0.2
  2  5.0
  0 50.5
  3 77.0
%CPU     %MEM    
100.0    0.2     
 102  0.1
PSR %CPU
  0  8.4
  1  0.0
  0  0.0
