%CPU     %MEM    
16.0  0.1
PSR %CPU
  1  2.0
  3  0.0
  0  0.0
  3  7.0
  1  2.0
  1  1.0
  0  1.0
%CPU     %MEM    
66.5  0.1
PSR %CPU
  1  1.0
  3  0.0
  0  0.0
  3 62.5
  1  1.0
  1  0.5
  0  0.5
%CPU     %MEM    
83.6  0.1
PSR %CPU
  1  0.6
  3  0.0
  0  0.0
  3 80.6
  1  0.6
  1  0.3
  0  0.3
%CPU     %MEM    
92.0  0.1
PSR %CPU
  1  0.5
  3  0.0
  0  0.0
  3 90.0
  1  0.5
  1  0.2
  0  0.2
%CPU     %MEM    
96.8  0.1
PSR %CPU
  0  8.4
  3  0.0
  0  0.0
  3 80.4
  2  0.4
  1  0.2
  0  0.4
  2  0.0
  3  0.0
  0  0.0
%CPU     %MEM    
 100  0.1
PSR %CPU
  2  9.1
  0  0.0
  0  0.0
  3 67.0
  2  0.3
  1  0.1
  0  0.3
  3 49.0
  3 55.0
  0 32.0
%CPU     %MEM    
89.6  0.1
PSR %CPU
  2  8.0
  0  0.0
  0  0.0
  3 50.2
  2  1.8
  1  0.2
  0  0.2
  1 18.0
  2 15.0
  3 22.0
%CPU     %MEM    
92.0  0.1
PSR %CPU
  0  9.4
  0  0.0
  0  0.0
  3 44.6
  3  2.5
  1  0.3
  2  0.4
%CPU     %MEM    
94.2  0.1
PSR %CPU
  0  9.4
  0  0.0
  0  0.0
  3 40.2
  1  2.3
  1  0.3
  2  0.4
  0  7.0
  3 30.0
  2 65.0
%CPU     %MEM    
96.4  0.1
PSR %CPU
  0  8.5
  2  0.0
  0  0.0
  3 36.5
  1  2.0
  1  0.2
  2  0.3
  0 21.5
  1 35.0
  3 53.5
%CPU     %MEM    
98.0  0.1
PSR %CPU
  0  7.8
  0  0.0
  0  0.0
  3 33.5
  1  1.9
  1  0.3
  2  0.3
  2  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
99.5  0.1
PSR %CPU
  0  7.6
  0  0.0
  0  0.0
  3 30.9
  1  1.8
  1  0.3
  2  0.3
  1  0.0
  3  0.0
  2  0.0
%CPU     %MEM    
93.5  0.1
PSR %CPU
  0  7.0
  0  0.0
  1  0.0
  3 26.8
  2  1.6
  3  0.2
  2  0.3
  1  1.0
  2 29.0
  1 28.0
%CPU     %MEM    
95.1  0.1
PSR %CPU
  0  6.6
  0  0.0
  1  0.0
  3 25.1
  2  1.5
  3  0.2
  2  0.3
  1  0.5
  2 35.5
  1 52.0
%CPU     %MEM    
96.2  0.1
PSR %CPU
  0  6.2
  0  0.0
  1  0.0
  3 23.7
  2  1.4
  3  0.2
  2  0.2
  3  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
97.4  0.1
PSR %CPU
  0  5.8
  2  0.0
  1  0.0
  3 22.3
  3  1.3
  3  0.3
  2  0.3
  2  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
98.6  0.1
PSR %CPU
  0  5.6
  2  0.0
  1  0.0
  2 25.2
  3  1.3
  3  0.3
  2  0.3
%CPU     %MEM    
94.8  0.1
PSR %CPU
  0  5.0
  2  0.0
  1  0.0
  2 28.4
  3  1.2
  3  0.2
  2  0.3
%CPU     %MEM    
95.8  0.1
PSR %CPU
  0  4.8
  2  0.0
  1  0.0
  2 32.5
  3  1.1
  3  0.2
  2  0.3
%CPU     %MEM    
96.8  0.1
PSR %CPU
  0  4.6
  2  0.0
  1  0.0
  2 36.2
  3  1.1
  3  0.2
  2  0.3
%CPU     %MEM    
97.6  0.1
PSR %CPU
  0  4.4
  2  0.0
  1  0.0
  2 39.5
  3  1.0
  3  0.2
  2  0.2
%CPU     %MEM    
98.4  0.1
PSR %CPU
  0  4.3
  2  0.0
  1  0.0
  2 39.8
  3  1.0
  3  0.2
  2  0.2
  1  0.0
  1  0.0
  3  0.0
%CPU     %MEM    
99.1  0.1
PSR %CPU
  0  4.1
  2  0.0
  1  0.0
  2 38.2
  3  1.0
  3  0.2
  2  0.2
  2  3.0
  1 27.0
  3  153
%CPU     %MEM    
96.3  0.1
PSR %CPU
  0  3.9
  2  0.0
  1  0.0
  2 35.5
  3  0.9
  3  0.2
  2  0.2
  2  1.0
  1 39.3
  2 60.0
%CPU     %MEM    
97.1  0.1
PSR %CPU
  0  3.7
  2  0.0
  1  0.0
  2 34.3
  3  0.8
  3  0.2
  2  0.2
  2  0.7
  1 37.0
  2 67.5
%CPU     %MEM    
97.7  0.1
PSR %CPU
  0  3.7
  2  0.0
  1  0.0
  2 33.1
  2  0.8
  3  0.2
  0  0.2
  1  4.0
