%CPU     %MEM    
100.0    0.1     
69.0  0.1
PSR %CPU
  1  2.0
  1  0.0
  3  0.0
  1 61.0
  0  1.0
  3  2.0
  0  1.0
%CPU     %MEM    
100.0    0.1     
93.5  0.1
PSR %CPU
  1  1.0
  1  0.0
  3  0.0
  1 89.5
  0  0.5
  3  1.0
  0  0.5
%CPU     %MEM    
100.0    0.1     
 101  0.1
PSR %CPU
  1  0.6
  1  0.0
  3  0.0
  1 98.6
  0  0.3
  3  0.6
  0  0.3
%CPU     %MEM    
100.0    0.1     
84.0  0.1
PSR %CPU
  0  4.6
  1  0.0
  2  0.0
  1 61.2
  0  0.4
  3  0.4
  3  0.4
  2 34.0
  1 15.0
  3 32.0
%CPU     %MEM    
80.0     0.1     
89.0  0.1
PSR %CPU
  0 10.3
  1  0.0
  2  0.0
  1 51.0
  0  0.3
  1  0.5
  3  0.3
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
100.0    0.1     
93.0  0.1
PSR %CPU
  0  9.5
  1  0.0
  2  0.0
  1 53.0
  2  0.4
  1  0.5
  3  0.5
%CPU     %MEM    
100.0    0.1     
95.8  0.1
PSR %CPU
  0  9.1
  1  0.0
  2  0.0
  1 53.5
  2  0.5
  0  0.5
  3  0.5
  1  0.0
  1  0.0
  3  0.0
%CPU     %MEM    
106.7    0.1     
98.4  0.1
PSR %CPU
  0  8.1
  2  0.0
  2  0.0
  1 47.5
  2  0.4
  0  0.4
  3  0.4
  2  9.0
  1 78.0
  3 81.0
%CPU     %MEM    
100.0    0.2     
99.7  0.1
PSR %CPU
  0  8.1
  2  0.0
  0  0.0
  1 42.8
  2  0.4
  3  0.5
  3  0.4
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
100.0    0.2     
92.5  0.1
PSR %CPU
  0  6.8
  2  0.0
  0  0.0
  1 35.7
  2  0.4
  3  0.5
  3  0.4
  2  1.0
  3 14.0
  1 45.0
%CPU     %MEM    
106.7    0.2     
94.6  0.1
PSR %CPU
  0  6.3
  2  0.0
  0  0.0
  1 33.0
  2  0.4
  3  0.4
  3  0.3
%CPU     %MEM    
100.0    0.2     
95.7  0.1
PSR %CPU
  2  5.8
  2  0.0
  0  0.0
  1 30.6
  2  0.4
  1  0.4
  3  0.4
  3  0.0
  2  0.0
  0  0.0
%CPU     %MEM    
100.0    0.2     
97.2  0.1
PSR %CPU
  3  5.4
  2  0.0
  0  0.0
  1 35.0
  2  0.4
  3  0.5
  3  0.4
%CPU     %MEM    
100.0    0.2     
98.5  0.1
PSR %CPU
  3  5.1
  2  0.0
  0  0.0
  1 40.1
  2  0.4
  3  0.5
  3  0.4
%CPU     %MEM    
100.0    0.2     
99.7  0.1
PSR %CPU
  3  4.5
  2  0.0
  0  0.0
  1 42.2
  2  0.3
  3  0.4
  3  0.3
%CPU     %MEM    
100.0    0.2     
95.4  0.1
PSR %CPU
  3  4.3
  2  0.0
  0  0.0
  1 46.2
  2  0.3
  3  0.4
  3  0.3
%CPU     %MEM    
100.0    0.2     
96.5  0.1
PSR %CPU
  3  4.1
  2  0.0
  0  0.0
  1 49.8
  2  0.3
  3  0.4
  3  0.3
%CPU     %MEM    
100.0    0.2     
97.5  0.1
PSR %CPU
  3  3.9
  2  0.0
  0  0.0
  1 53.0
  2  0.3
  3  0.3
  3  0.3
%CPU     %MEM    
106.7    0.2     
98.5  0.1
PSR %CPU
  3  3.7
  2  0.0
  0  0.0
  1 56.0
  2  0.3
  3  0.3
  3  0.3
%CPU     %MEM    
100.0    0.2     
99.3  0.1
PSR %CPU
  3  3.5
  2  0.0
  0  0.0
  1 58.7
  2  0.3
  3  0.3
  3  0.3
%CPU     %MEM    
93.3     0.2     
96.0  0.1
PSR %CPU
  0  3.4
  2  0.0
  0  0.0
  1 54.4
  0  0.2
  0  0.3
  2  0.2
  0  2.0
  0 19.0
  3 81.0
%CPU     %MEM    
100.0    0.2     
96.9  0.1
PSR %CPU
  0  3.2
  2  0.0
  0  0.0
  1 52.3
  0  0.2
  0  0.3
  2  0.2
  0  1.0
  0 46.5
  3 62.5
%CPU     %MEM    
106.7    0.2     
97.5  0.1
PSR %CPU
  0  3.1
  2  0.0
  0  0.0
  1 50.4
  2  0.2
  0  0.2
  2  0.2
  2  0.0
  0 16.0
  1 28.0
%CPU     %MEM    
87.5     0.2     
