%CPU     %MEM    
37.0  0.1
PSR %CPU
  3  2.0
  1  0.0
  1  0.0
  0 27.0
  0  1.0
  0  2.0
  1  2.0
%CPU     %MEM    
77.5  0.1
PSR %CPU
  3  1.0
  1  0.0
  1  0.0
  0 72.0
  0  0.5
  0  1.0
  1  1.0
%CPU     %MEM    
91.0  0.1
PSR %CPU
  3  0.6
  1  0.0
  1  0.0
  0 87.3
  0  0.3
  0  0.6
  1  0.6
%CPU     %MEM    
97.5  0.1
PSR %CPU
  3  8.5
  1  0.0
  1  0.0
  0 79.7
  1  0.5
  0  0.5
  1  0.5
  0  0.0
  2  0.0
  2  0.0
%CPU     %MEM    
 101  0.1
PSR %CPU
  1  9.6
  1  0.0
  1  0.0
  0 63.8
  1  0.4
  0  0.4
  1  0.4
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
 102  0.1
PSR %CPU
  0 10.5
  1  0.0
  2  0.0
  0 53.1
  1  0.6
  3  2.5
  1  0.5
  1  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
90.3  0.1
PSR %CPU
  0  8.8
  3  0.0
  3  0.0
  0 47.1
  3  0.5
  3  2.0
  2  0.3
  3  0.0
  2  0.0
  0  0.0
%CPU     %MEM    
93.5  0.1
PSR %CPU
  0  8.5
  3  0.0
  2  0.0
  0 41.8
  3  0.4
  3  1.7
  2  0.3
  3  6.0
  3 41.0
  2 65.0
%CPU     %MEM    
95.4  0.1
PSR %CPU
  0  8.0
  3  0.0
  2  0.0
  0 37.7
  3  0.4
  0  1.6
  2  0.4
  3  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
97.0  0.1
PSR %CPU
  0  7.6
  3  0.0
  2  0.0
  0 34.2
  3  0.4
  0  1.5
  2  0.3
  2  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
98.0  0.1
PSR %CPU
  3  7.3
  3  0.0
  2  0.0
  0 31.5
  2  0.5
  1  1.5
  2  0.4
  1  0.0
  2  0.0
  0  0.0
%CPU     %MEM    
92.5  0.1
PSR %CPU
  3  6.2
  3  0.0
  0  0.0
  0 27.0
  2  0.4
  1  1.2
  2  0.3
  1  0.0
  2 25.5
  0 49.0
%CPU     %MEM    
93.8  0.1
PSR %CPU
  3  6.0
  3  0.0
  0  0.0
  0 25.2
  2  0.4
  1  1.2
  3  0.4
  0  0.0
  3  0.0
  1  0.0
%CPU     %MEM    
95.3  0.1
PSR %CPU
  3  5.6
  3  0.0
  0  0.0
  0 23.6
  2  0.4
  1  1.1
  3  0.4
  0  0.0
  0 19.0
  3 34.0
%CPU     %MEM    
96.5  0.1
PSR %CPU
  3  5.3
  3  0.0
  0  0.0
  0 28.3
  2  0.4
  1  1.1
  1  0.4
%CPU     %MEM    
97.7  0.1
PSR %CPU
  3  5.0
  3  0.0
  0  0.0
  0 33.3
  2  0.4
  1  1.1
  1  0.3
%CPU     %MEM    
98.8  0.1
PSR %CPU
