%CPU     %MEM    
100.0    0.1     
81.0  0.1
PSR %CPU
  3  1.0
  0  0.0
  1  0.0
  3 72.0
  0  2.0
  2  2.0
  2  2.0
%CPU     %MEM    
100.0    0.1     
99.5  0.1
PSR %CPU
  3  0.5
  0  0.0
  1  0.0
  3 95.0
  0  1.0
  2  1.0
  2  1.0
%CPU     %MEM    
100.0    0.1     
 105  0.1
PSR %CPU
  3  0.3
  0  0.0
  1  0.0
  3  102
  0  0.6
  2  0.6
  2  0.6
%CPU     %MEM    
100.0    0.1     
 108  0.1
PSR %CPU
  3  5.7
  0  0.0
  0  0.0
  3 85.7
  0  0.5
  2  0.5
  0  0.5
  0  0.0
  1  0.0
  0  0.0
%CPU     %MEM    
106.7    0.1     
91.5  0.1
PSR %CPU
  3  6.1
  0  0.0
  0  0.0
  3 66.0
  1  0.6
  3  0.5
  0  0.5
%CPU     %MEM    
100.0    0.1     
95.2  0.1
PSR %CPU
  3  5.2
  0  0.0
  0  0.0
  3 73.4
  1  0.5
  3  0.4
  0  0.4
%CPU     %MEM    
106.7    0.1     
97.5  0.1
PSR %CPU
  0  5.0
  0  0.0
  0  0.0
  3 74.5
  1  0.5
  0  0.5
  0  0.3
  1  0.0
  0  0.0
  3  0.0
%CPU     %MEM    
100.0    0.1     
99.0  0.1
PSR %CPU
  2  4.7
  0  0.0
  0  0.0
  3 66.2
  1  0.4
  3  0.4
  3  0.4
  1  0.0
  0  0.0
  2  0.0
%CPU     %MEM    
106.7    0.2     
 100  0.1
PSR %CPU
  2  4.6
  2  0.0
  0  0.0
  1 67.3
  1  0.5
  3  0.4
  2  0.5
%CPU     %MEM    
93.8     0.2     
 102  0.1
PSR %CPU
  2  4.1
  2  0.0
  0  0.0
  1 63.9
  1  0.5
  3  0.3
  2  0.4
  3  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
100.0    0.2     
95.4  0.1
PSR %CPU
  2  3.6
  2  0.0
  0  0.0
  3 56.8
  1  0.5
  3  0.4
  2  0.4
%CPU     %MEM    
93.8     0.2     
97.0  0.1
PSR %CPU
  2  3.3
  2  0.0
  0  0.0
  3 61.2
  1  0.5
  3  0.4
  2  0.4
%CPU     %MEM    
100.0    0.2     
98.4  0.1
PSR %CPU
  2  3.1
  2  0.0
  0  0.0
  3 65.0
  1  0.4
  3  0.4
  2  0.4
%CPU     %MEM    
93.8     0.2     
99.6  0.1
PSR %CPU
  2  2.9
  2  0.0
  0  0.0
  3 68.3
  1  0.4
  3  0.3
  2  0.3
%CPU     %MEM    
93.8     0.2     
 100  0.1
PSR %CPU
  2  2.7
  2  0.0
  0  0.0
  3 71.1
  1  0.4
  3  0.3
  2  0.3
%CPU     %MEM    
106.7    0.2     
 101  0.1
PSR %CPU
  2  2.6
  2  0.0
  0  0.0
  3 73.7
  1  0.3
  3  0.3
  2  0.3
%CPU     %MEM    
100.0    0.2     
97.4  0.1
PSR %CPU
  2  2.3
  2  0.0
  0  0.0
  3 72.2
  1  0.3
  3  0.3
  2  0.3
%CPU     %MEM    
106.7    0.2     
98.3  0.1
PSR %CPU
  2  2.2
  2  0.0
  0  0.0
  3 74.4
  1  0.3
  3  0.2
  2  0.2
%CPU     %MEM    
100.0    0.2     
99.2  0.1
PSR %CPU
  2  2.1
  2  0.0
  0  0.0
  3 76.4
  1  0.3
  3  0.2
  2  0.2
%CPU     %MEM    
100.0    0.2     
 100  0.1
PSR %CPU
  2  2.0
  2  0.0
  0  0.0
  3 78.1
  1  0.3
  3  0.2
  2  0.2
%CPU     %MEM    
100.0    0.2     
